"id","stable_key","dedupe_key","release_id","academic_year","admission_period","education_level","cluster_number","specialty_code","specialty_name_original","institution_id","institution_name","campus_id","campus_name","city_id","city_name","region_id","region_name","education_form","education_type","tuition_fee","languages","admission_plan","official_status"
"offer_0bc84afc20b22b83f67e2422","nct:2025:fourth_or_remaining_seats:after_11:1:1020501:campus_0306b4b3232b2d9d4281e030:part_time:paid:e9ed69a6ea08","dedupe_9a86c2608e922f018b424908","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","1020501","Математика","institution_65962cd72ec15c70206703ba","Худжандский государственный университет имени академика Бободжона Гафурова","campus_0306b4b3232b2d9d4281e030","","city_2aec5672e5168894a0478711","Khujand","","","заочная","платный","3500","tg","7","published"
"offer_eed9c4bc4ed7c6508ae27b12","nct:2025:fourth_or_remaining_seats:after_11:1:1020501:campus_190723a95409675faf80d38f:part_time:free:e9ed69a6ea08","dedupe_a2b28514790146b07a81ad21","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","1020501","Математика","institution_d8f2da5f32c34598c0562638","Хорогский государственный университет имени Моёншо Назаршоева","campus_190723a95409675faf80d38f","","city_bd1e07df12c3dd444d6c73ae","Khorog","","","заочная","бесплатный","","tg","8","published"
"offer_bd35175c6d20fbd4733c99e8","nct:2025:fourth_or_remaining_seats:after_11:1:1020501:campus_190723a95409675faf80d38f:part_time:paid:e9ed69a6ea08","dedupe_d223953793ff7ad36e268cb6","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","1020501","Математика","institution_d8f2da5f32c34598c0562638","Хорогский государственный университет имени Моёншо Назаршоева","campus_190723a95409675faf80d38f","","city_bd1e07df12c3dd444d6c73ae","Khorog","","","заочная","платный","2500","tg","7","published"
"offer_70317e5cca2978d9c6df9f2d","nct:2025:fourth_or_remaining_seats:after_11:1:1020501:campus_68e92a6a9386e7b4ede3ec65:part_time:paid:e9ed69a6ea08","dedupe_aacf30759628c0798a576260","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","1020501","Математика","institution_4b0c5a8ebe71d2ca40387e75","Институт точных наук и технологий Таджикистана в городе Худжанд (негосударственный)","campus_68e92a6a9386e7b4ede3ec65","","city_2aec5672e5168894a0478711","Khujand","","","заочная","платный","3800","tg","18","published"
"offer_a9d11024b2591b77bc26bcb1","nct:2025:fourth_or_remaining_seats:after_11:1:1020501:campus_77b90c98afb0e289e190feb9:part_time:paid:e9ed69a6ea08","dedupe_fbb01fb2cec283148c3fecc9","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","1020501","Математика","institution_b106b3e285c8e675638f203e","Кулябский государственный университет имени Абуабдулло Рудаки","campus_77b90c98afb0e289e190feb9","","city_143333baabbad7d775dc2fd6","Kulob","","","заочная","платный","2310","tg","12","published"
"offer_b2fec21ff6fbdd72310ad8ba","nct:2025:fourth_or_remaining_seats:after_11:1:1020502:campus_0306b4b3232b2d9d4281e030:part_time:paid:e9ed69a6ea08","dedupe_e573aa7affe65ed0537ed61f","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","1020502","Физика","institution_65962cd72ec15c70206703ba","Худжандский государственный университет имени академика Бободжона Гафурова","campus_0306b4b3232b2d9d4281e030","","city_2aec5672e5168894a0478711","Khujand","","","заочная","платный","3500","tg","21","published"
"offer_f7e03dbf5676ea7efa467679","nct:2025:fourth_or_remaining_seats:after_11:1:1020502:campus_68e92a6a9386e7b4ede3ec65:part_time:paid:e9ed69a6ea08","dedupe_122991bcc75f64ee08d32bf3","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","1020502","Физика","institution_4b0c5a8ebe71d2ca40387e75","Институт точных наук и технологий Таджикистана в городе Худжанд (негосударственный)","campus_68e92a6a9386e7b4ede3ec65","","city_2aec5672e5168894a0478711","Khujand","","","заочная","платный","3800","tg","20","published"
"offer_ea9937b477133c902b73ee2d","nct:2025:fourth_or_remaining_seats:after_11:1:102050301:campus_020dc719dba9a2befec1ea84:part_time:free:e9ed69a6ea08","dedupe_40eb3350307a25e5aa96b373","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","102050301","Математика. Физика","institution_300fa4937de106aed20054d8","Педагогический институт Таджикистана в районе Рашт","campus_020dc719dba9a2befec1ea84","","","","region_4f2044f479c445f0a222703e","Rasht","заочная","бесплатный","","tg","8","published"
"offer_829623e6f0eeb5f23ed0610b","nct:2025:fourth_or_remaining_seats:after_11:1:102050301:campus_020dc719dba9a2befec1ea84:part_time:paid:e9ed69a6ea08","dedupe_1256a5330e67a0072829a8c5","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","102050301","Математика. Физика","institution_300fa4937de106aed20054d8","Педагогический институт Таджикистана в районе Рашт","campus_020dc719dba9a2befec1ea84","","","","region_4f2044f479c445f0a222703e","Rasht","заочная","платный","1980","tg","7","published"
"offer_99a8bc0824974da0109db40c","nct:2025:fourth_or_remaining_seats:after_11:1:102050301:campus_0306b4b3232b2d9d4281e030:part_time:paid:e9ed69a6ea08","dedupe_522ca9c5952088de8391f17e","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","102050301","Математика. Физика","institution_65962cd72ec15c70206703ba","Худжандский государственный университет имени академика Бободжона Гафурова","campus_0306b4b3232b2d9d4281e030","","city_2aec5672e5168894a0478711","Khujand","","","заочная","платный","3500","tg","15","published"
"offer_ec5401f18ecc0e52fff847d8","nct:2025:fourth_or_remaining_seats:after_11:1:102050301:campus_68e92a6a9386e7b4ede3ec65:part_time:paid:e9ed69a6ea08","dedupe_19e053949ef3e6b45df43803","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","102050301","Математика. Физика","institution_4b0c5a8ebe71d2ca40387e75","Институт точных наук и технологий Таджикистана в городе Худжанд (негосударственный)","campus_68e92a6a9386e7b4ede3ec65","","city_2aec5672e5168894a0478711","Khujand","","","заочная","платный","3800","tg","30","published"
"offer_d5cfabb4c05aa5aa503da8f4","nct:2025:fourth_or_remaining_seats:after_11:1:102050301:campus_b9cd9df7d2f4531f56529e28:part_time:paid:e9ed69a6ea08","dedupe_89bae27d18c63e83189e376d","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","102050301","Математика. Физика","institution_5b73454ef8338e1a051fd99d","Филиал Технологического университета Таджикистана в городе Исфара","campus_b9cd9df7d2f4531f56529e28","","city_a20bb1c5408f613a46f663e7","Isfara","","","заочная","платный","2400","tg","11","published"
"offer_985b63f16a8921695852c9e1","nct:2025:fourth_or_remaining_seats:after_11:1:102050302:campus_ae018517844872ba4dd61859:part_time:paid:e9ed69a6ea08","dedupe_091787671b4105796cfb1a78","nct-2025-fourth-or-remaining-seats-after-11-v1","2025","fourth_or_remaining_seats","after_11","1","102050302","Математика. Информатика","institution_cf18d51f7ef243a05545a464","Таджикский государственный университет права, бизнеса и политики","campus_ae018517844872ba4dd61859","","city_2aec5672e5168894a0478711","Khujand","","","заочная","платный","3795","tg","19","published"
